DocumentName;Number_of_caracter;Area_of_letter;Area_of_word;Proportion_of_area_letter;Proportion_of_area_word;Proportion_of_area_letter2;Proportion_of_area_word2
Risques et pollution Programme immo  Clichy-19.jpeg;2622;3602199;4905400;0,149026717;0,202941497;0,15;0,2
Risques et pollution Programme immo  Clichy-2.jpeg;1292;62742;10767834;0,002595702;0,445476486;0;0,45
Risques et pollution Programme immo  Clichy-20.jpeg;442;537983;734372;0,022256916;0,030381733;0,02;0,03
Risques et pollution Programme immo  Clichy-21.jpeg;2082;3213350;4177455;0,13293963;0,172825656;0,13;0,17
Risques et pollution Programme immo  Clichy-22.jpeg;2635;3569774;4822449;0,147685261;0,199509728;0,15;0,2
Risques et pollution Programme immo  Clichy-23.jpeg;1883;2508107;3405015;0,103762994;0,14086901;0,1;0,14
Risques et pollution Programme immo  Clichy-24.jpeg;2239;3071851;4128017;0,127085669;0,170780355;0,13;0,17
Risques et pollution Programme immo  Clichy-25.jpeg;2960;3999927;5394176;0,165481138;0,223162669;0,17;0,22
Risques et pollution Programme immo  Clichy-26.jpeg;1808;2441900;3287517;0,101023942;0,136007996;0,1;0,14
Risques et pollution Programme immo  Clichy-27.jpeg;2153;3031098;4049447;0,125399675;0,167529832;0,13;0,17
Risques et pollution Programme immo  Clichy-28.jpeg;2636;3537932;4781446;0,146367925;0,197813392;0,15;0,2
Risques et pollution Programme immo  Clichy-29.jpeg;2190;2987482;4022227;0,123595236;0,166403712;0,12;0,17
Risques et pollution Programme immo  Clichy-3.jpeg;1164;1527432;1819983;0,06319145;0,075294589;0,06;0,08
Risques et pollution Programme immo  Clichy-30.jpeg;2003;2816932;3831086;0,116539405;0,15849601;0,12;0,16
Risques et pollution Programme immo  Clichy-31.jpeg;2726;3728726;5011749;0,154261271;0,207341266;0,15;0,21
Risques et pollution Programme immo  Clichy-32.jpeg;1118;1448825;1978142;0,059939396;0,081837791;0,06;0,08
Risques et pollution Programme immo  Clichy-33.jpeg;2491;3755754;4812328;0,155379447;0,199091012;0,16;0,2
Risques et pollution Programme immo  Clichy-34.jpeg;2796;3794070;5099519;0,15696462;0,210972402;0,16;0,21
Risques et pollution Programme immo  Clichy-35.jpeg;2256;3247237;4245104;0,13434157;0,175624366;0,13;0,18
